Person ID,First Detected,Total Time (s),Productive Time (s),Break Time (s),Idle Time (s),Productivity Ratio (%),Current Zone
124,12:12:52,17.338711977005005,5.845921993255615,11.49278998374939,91,-491.12112894935717,desk_area
149,12:13:54,64.32405734062195,5.707985162734985,58.61607217788696,0,8.873795277727726,break_area
166,12:14:48,0.0,0.0,0.0,0,0.0,desk_area
168,12:14:53,0.0,0.0,0.0,0,0.0,desk_area
170,12:14:54,4.349971532821655,4.349971532821655,0.0,0,100.0,desk_area
173,12:15:00,0.0,0.0,0.0,0,0.0,desk_area
174,12:15:01,0.0,0.0,0.0,0,0.0,break_area
175,12:15:01,0.0,0.0,0.0,0,0.0,desk_area
176,12:15:02,0.0,0.0,0.0,0,0.0,desk_area
177,12:15:02,0.0,0.0,0.0,0,0.0,break_area
