Person ID,First Detected,Total Time (s),Productive Time (s),Break Time (s),Idle Time (s),Productivity Ratio (%),Current Zone
310,12:21:20,0.0,0.0,0.0,862,0.0,desk_area
393,12:24:09,348.9449632167816,3.251307487487793,345.6936557292938,0,0.9317536661126478,break_area
430,12:28:29,5.14856743812561,5.14856743812561,0.0,0,100.0,break_area
434,12:29:05,0.0,0.0,0.0,157,0.0,desk_area
439,12:31:49,5.02235221862793,5.02235221862793,0.0,0,100.0,break_area
440,12:31:51,8.160501718521118,0.0,8.160501718521118,0,0.0,desk_area
441,12:31:52,6.436597108840942,0.0,6.436597108840942,0,0.0,desk_area
442,12:31:52,6.255115509033203,0.0,6.255115509033203,0,0.0,desk_area
443,12:31:53,104.48048138618469,0.0,104.48048138618469,1,-0.9571165702268946,desk_area
444,12:31:54,31.035218238830566,11.183242559432983,19.851975679397583,0,36.034038727785585,desk_area
