Person ID,First Detected,Total Time (s),Productive Time (s),Break Time (s),Idle Time (s),Productivity Ratio (%),Current Zone
310,12:21:20,0.0,0.0,0.0,689,0.0,desk_area
393,12:24:09,288.0114507675171,3.251307487487793,284.7601432800293,0,1.1288813270526001,break_area
430,12:28:29,5.14856743812561,5.14856743812561,0.0,0,100.0,break_area
434,12:29:05,0.0,0.0,0.0,0,0.0,desk_area
443,12:29:48,0.0,0.0,0.0,0,0.0,break_area
444,12:29:54,3.0427656173706055,0.0,3.0427656173706055,0,0.0,Unknown
447,12:29:58,0.0,0.0,0.0,0,0.0,desk_area
448,12:30:00,0.0,0.0,0.0,0,0.0,desk_area
449,12:30:00,0.0,0.0,0.0,0,0.0,desk_area
450,12:30:01,0.0,0.0,0.0,0,0.0,desk_area
451,12:30:02,0.0,0.0,0.0,0,0.0,break_area
452,12:30:03,0.0,0.0,0.0,0,0.0,desk_area
