Person ID,Zone,Entry Time,Exit Time,Duration (s)
1,desk_area,10:02:03,10:02:05,2.2740674018859863
1,break_area,10:02:05,10:02:06,0.5556106567382812
1,desk_area,10:02:06,10:02:07,0.4572892189025879
1,break_area,10:02:07,10:02:07,0.48474597930908203
1,desk_area,10:02:07,10:02:08,1.0220234394073486
3,break_area,10:02:01,10:02:06,5.67508864402771
5,break_area,10:02:03,10:02:08,5.231303691864014
6,break_area,10:02:03,10:02:08,5.231303691864014
7,break_area,10:02:03,10:02:08,5.239401578903198
8,break_area,10:02:03,10:02:08,5.239401578903198
9,break_area,10:02:04,10:02:13,8.597354173660278
11,break_area,10:02:07,10:02:12,5.063761234283447
