Person ID,First Detected,Total Time (s),Productive Time (s),Break Time (s),Idle Time (s),Productivity Ratio (%),Current Zone
108,13:04:44,30.789442539215088,0.0,30.789442539215088,0,0.0,Unknown
123,13:05:40,0.0,0.0,0.0,0,0.0,desk_area
124,13:05:42,0.6949021816253662,0.6949021816253662,0.0,0,100.0,desk_area
138,13:06:12,0.0,0.0,0.0,0,0.0,desk_area
141,13:06:13,0.0,0.0,0.0,0,0.0,desk_area
142,13:06:13,0.0,0.0,0.0,0,0.0,desk_area
143,13:06:15,0.0,0.0,0.0,0,0.0,desk_area
144,13:06:15,0.0,0.0,0.0,0,0.0,desk_area
145,13:06:18,0.0,0.0,0.0,0,0.0,desk_area
146,13:06:19,0.0,0.0,0.0,0,0.0,desk_area
