Person ID,Zone,Entry Time,Exit Time,Duration (s)
1,break_area,10:12:06,10:12:11,5.13317346572876
1,desk_area,10:12:14,10:12:21,6.879339933395386
1,break_area,10:12:35,10:12:37,1.650989055633545
1,break_area,10:12:39,10:12:43,4.792689800262451
1,desk_area,10:12:48,10:12:58,9.835382223129272
1,desk_area,10:13:00,10:13:00,0.0
1,break_area,10:13:00,10:13:01,1.5880424976348877
1,desk_area,10:13:01,10:13:06,5.134665489196777
1,desk_area,10:13:09,10:13:11,2.409992218017578
1,desk_area,10:13:12,10:13:17,4.336364030838013
1,desk_area,10:13:22,10:13:25,3.047100305557251
1,desk_area,10:13:28,10:13:29,1.5205166339874268
1,desk_area,10:13:31,10:13:34,3.0571799278259277
1,desk_area,10:13:41,10:13:43,1.5549609661102295
1,desk_area,10:13:45,10:13:46,1.5776371955871582
1,desk_area,10:13:55,10:13:57,1.4647221565246582
1,desk_area,10:14:03,10:14:04,1.486807107925415
1,desk_area,10:14:06,10:14:07,1.5029122829437256
1,desk_area,10:14:22,10:14:24,1.4656906127929688
1,desk_area,10:14:32,10:14:34,1.4462089538574219
1,desk_area,10:15:08,10:15:09,1.447098970413208
1,desk_area,10:15:11,10:15:15,4.446210861206055
1,desk_area,10:15:17,10:15:19,2.1055908203125
1,desk_area,10:15:22,10:15:23,1.4008574485778809
1,desk_area,10:15:24,10:15:36,11.387418031692505
1,desk_area,10:15:37,10:15:43,5.951112985610962
1,desk_area,10:15:45,10:15:48,2.9754841327667236
1,desk_area,10:15:49,10:15:50,1.5113227367401123
1,desk_area,10:15:52,10:16:02,10.253085136413574
1,desk_area,10:16:04,10:16:12,8.107661008834839
1,desk_area,10:16:17,10:16:19,1.8661284446716309
1,desk_area,10:16:22,10:16:24,1.6880028247833252
1,desk_area,10:16:25,10:16:28,2.9671149253845215
1,desk_area,10:16:30,10:16:31,1.4559004306793213
1,desk_area,10:16:44,10:16:48,4.318048000335693
1,desk_area,10:16:52,10:16:53,1.0643956661224365
1,desk_area,10:17:23,10:17:48,25.02035164833069
1,desk_area,10:17:50,10:17:53,3.9465227127075195
1,desk_area,10:17:55,10:17:57,2.6255924701690674
1,desk_area,10:18:04,10:18:06,1.373232126235962
1,desk_area,10:18:08,10:18:23,14.630578756332397
1,desk_area,10:18:25,10:18:34,9.09471869468689
1,desk_area,10:18:35,10:18:36,0.7842304706573486
1,desk_area,10:18:37,10:18:43,5.98184609413147
1,desk_area,10:18:44,10:19:02,18.353838443756104
1,desk_area,10:19:04,10:19:06,1.905473232269287
1,desk_area,10:19:06,10:19:07,0.984229564666748
1,desk_area,10:19:08,10:19:14,5.598022699356079
1,desk_area,10:19:18,10:19:19,0.9665474891662598
1,desk_area,10:19:24,10:19:26,2.7560319900512695
1,desk_area,10:19:29,10:19:31,1.7150585651397705
1,desk_area,10:19:41,10:19:42,0.9375565052032471
1,desk_area,10:20:00,10:20:02,2.060163736343384
1,desk_area,10:20:03,10:20:04,0.9446110725402832
1,desk_area,10:20:06,10:20:07,0.9078037738800049
1,desk_area,10:20:13,10:20:16,2.22717022895813
1,desk_area,10:20:17,10:20:18,0.7966580390930176
1,desk_area,10:20:39,10:20:40,1.050466537475586
1,desk_area,10:20:43,10:20:44,1.025132179260254
1,desk_area,10:20:59,10:21:00,0.948826789855957
1,desk_area,10:21:01,10:21:10,8.022425413131714
1,desk_area,10:21:11,10:21:14,2.9697887897491455
1,desk_area,10:21:17,10:21:19,1.206183671951294
1,desk_area,10:21:20,10:21:22,2.0311038494110107
1,desk_area,10:21:24,10:21:25,1.1734635829925537
1,desk_area,10:21:34,10:21:35,1.9241645336151123
1,desk_area,10:21:37,10:21:38,1.198617935180664
1,desk_area,10:21:39,10:21:42,2.849799394607544
1,desk_area,10:21:44,10:21:45,0.9740502834320068
1,desk_area,10:21:46,10:21:50,3.9272143840789795
1,desk_area,10:21:51,10:21:52,1.8446779251098633
1,desk_area,10:21:54,10:21:56,1.8906347751617432
1,desk_area,10:21:57,10:22:00,2.982651472091675
1,desk_area,10:22:01,10:22:04,2.6554226875305176
2,desk_area,10:12:06,10:12:13,6.476269721984863
2,desk_area,10:12:14,10:12:20,5.256327867507935
2,desk_area,10:13:10,10:13:10,0.0
2,break_area,10:13:10,10:13:11,0.7215118408203125
2,break_area,10:15:09,10:15:19,9.619842052459717
2,break_area,10:18:01,10:18:11,9.850077152252197
2,break_area,10:18:45,10:18:45,0.0
2,desk_area,10:18:45,10:18:51,5.734689950942993
2,desk_area,10:19:01,10:19:03,1.7707107067108154
3,desk_area,10:12:06,10:12:16,10.065315961837769
3,desk_area,10:13:13,10:13:13,0.0
3,break_area,10:13:43,10:13:55,12.417534112930298
3,break_area,10:13:57,10:13:58,1.5011138916015625
3,break_area,10:14:04,10:14:12,7.339002847671509
3,break_area,10:15:09,10:15:33,23.945857763290405
3,break_area,10:18:03,10:18:13,9.426330804824829
3,break_area,10:18:46,10:18:56,10.157549381256104
3,break_area,10:19:01,10:19:11,10.010454893112183
4,break_area,10:12:14,10:12:21,6.879339933395386
4,break_area,10:13:18,10:13:40,21.441596269607544
4,break_area,10:15:11,10:15:31,20.93589448928833
4,break_area,10:18:12,10:18:12,0.0
4,desk_area,10:18:12,10:18:39,27.432313203811646
4,desk_area,10:18:47,10:18:56,8.451149225234985
4,desk_area,10:19:06,10:19:13,6.722606897354126
5,break_area,10:12:16,10:12:21,5.045393228530884
5,break_area,10:13:28,10:13:37,9.129080772399902
5,break_area,10:15:19,10:15:24,5.8186585903167725
5,break_area,10:15:26,10:15:26,0.0
5,break_area,10:15:40,10:15:43,3.2494335174560547
5,break_area,10:15:48,10:15:49,1.4450054168701172
5,break_area,10:15:50,10:15:54,3.9226555824279785
5,break_area,10:15:56,10:16:11,14.604501724243164
5,break_area,10:18:18,10:18:27,9.589107275009155
5,break_area,10:18:50,10:18:50,0.0
5,desk_area,10:18:50,10:18:58,8.652966499328613
5,desk_area,10:19:07,10:19:07,0.0
5,break_area,10:19:07,10:19:14,6.53733229637146
6,desk_area,10:12:21,10:12:28,6.811246871948242
6,desk_area,10:12:30,10:12:35,5.26554012298584
6,desk_area,10:12:37,10:12:42,5.03709077835083
6,desk_area,10:13:28,10:13:28,0.0
6,break_area,10:13:28,10:13:54,26.285628080368042
6,break_area,10:16:00,10:16:08,7.2934088706970215
6,break_area,10:18:24,10:18:31,6.770273923873901
6,break_area,10:19:07,10:19:18,10.144843578338623
7,break_area,10:12:28,10:12:39,10.558175563812256
7,break_area,10:13:41,10:13:51,9.460415840148926
7,break_area,10:16:04,10:16:09,5.469564437866211
7,break_area,10:18:24,10:18:30,5.755752801895142
7,break_area,10:19:08,10:19:08,0.0
7,desk_area,10:19:08,10:19:14,5.598022699356079
7,desk_area,10:19:16,10:19:24,8.525409936904907
8,break_area,10:12:39,10:12:45,6.37545108795166
8,break_area,10:13:46,10:13:46,0.0
8,desk_area,10:13:46,10:13:52,6.3512122631073
8,desk_area,10:16:06,10:16:14,7.873286724090576
8,desk_area,10:18:28,10:18:28,0.0
8,break_area,10:18:28,10:18:33,5.260727882385254
8,break_area,10:19:09,10:19:09,0.0
8,desk_area,10:19:09,10:19:15,5.412645101547241
8,desk_area,10:19:16,10:19:16,0.0
8,break_area,10:19:16,10:19:25,9.52493667602539
9,break_area,10:16:13,10:16:21,7.74143123626709
9,break_area,10:16:22,10:16:35,12.894261121749878
9,break_area,10:18:32,10:18:41,9.300190925598145
9,break_area,10:19:23,10:19:28,5.562402725219727
10,break_area,10:13:52,10:14:41,48.653281927108765
10,break_area,10:16:16,10:16:31,15.303268194198608
10,break_area,10:18:32,10:18:32,0.0
10,break_area,10:19:26,10:19:40,14.161571502685547
11,break_area,10:13:52,10:14:15,22.109339475631714
11,break_area,10:14:25,10:14:35,10.234733819961548
11,break_area,10:14:37,10:14:43,5.816241264343262
11,break_area,10:16:17,10:16:35,17.569010734558105
11,break_area,10:18:32,10:18:38,5.148230075836182
11,break_area,10:19:30,10:19:40,10.585360765457153
12,break_area,10:13:58,10:14:06,7.319815635681152
12,break_area,10:14:12,10:14:21,9.043514013290405
12,break_area,10:14:43,10:15:06,23.523308038711548
12,break_area,10:16:21,10:16:27,5.9469969272613525
12,break_area,10:19:38,10:19:38,0.0
12,desk_area,10:19:38,10:19:45,7.691429376602173
13,break_area,10:14:12,10:14:19,7.383309602737427
13,break_area,10:14:51,10:14:57,5.800498723983765
13,break_area,10:16:22,10:16:31,9.017150640487671
13,break_area,10:19:44,10:19:55,10.125639915466309
14,break_area,10:14:54,10:15:05,10.29504919052124
14,break_area,10:16:24,10:16:24,0.0
14,desk_area,10:16:24,10:16:30,5.873247385025024
14,desk_area,10:19:45,10:19:45,0.0
14,break_area,10:19:45,10:19:55,9.239389657974243
15,break_area,10:14:56,10:15:08,11.941238164901733
15,break_area,10:16:25,10:16:25,0.0
16,break_area,10:16:27,10:16:33,6.564169883728027
16,break_area,10:19:56,10:20:08,12.18963885307312
17,desk_area,10:16:31,10:17:08,37.348761320114136
17,desk_area,10:17:09,10:17:13,3.473011016845703
17,desk_area,10:17:14,10:17:30,15.85068941116333
17,desk_area,10:19:58,10:19:58,0.0
17,break_area,10:19:58,10:20:09,10.626469373703003
18,break_area,10:16:33,10:16:43,9.3627450466156
18,break_area,10:16:50,10:16:59,8.636968612670898
18,break_area,10:20:04,10:20:07,2.7358551025390625
18,break_area,10:20:08,10:20:11,2.8282153606414795
18,break_area,10:20:12,10:20:13,1.8861908912658691
18,break_area,10:20:17,10:20:34,16.21812677383423
18,break_area,10:20:39,10:20:44,5.502727746963501
18,break_area,10:20:46,10:21:03,16.33853030204773
19,break_area,10:16:33,10:16:45,11.48856234550476
19,break_area,10:16:50,10:17:18,28.038127183914185
19,break_area,10:20:06,10:20:28,22.58057451248169
20,break_area,10:16:37,10:16:46,9.040241956710815
20,break_area,10:17:04,10:17:04,0.0
20,break_area,10:17:12,10:17:14,2.6565608978271484
20,break_area,10:20:14,10:20:23,8.596110105514526
20,break_area,10:20:27,10:20:38,10.196951866149902
21,break_area,10:17:16,10:17:21,5.286628484725952
21,break_area,10:20:35,10:20:52,17.27444314956665
22,break_area,10:17:20,10:17:30,10.50546646118164
22,break_area,10:20:35,10:20:42,7.490172624588013
23,break_area,10:17:20,10:17:36,16.693236589431763
23,break_area,10:20:36,10:20:42,5.626846551895142
24,break_area,10:17:21,10:17:27,5.2733378410339355
24,break_area,10:17:32,10:17:32,0.0
24,desk_area,10:17:32,10:17:33,1.6132826805114746
24,desk_area,10:17:35,10:17:41,5.729977607727051
24,desk_area,10:20:40,10:20:45,5.357500314712524
25,break_area,10:17:35,10:17:43,8.376888036727905
25,break_area,10:20:41,10:20:41,0.0
25,desk_area,10:20:41,10:20:47,6.515348672866821
26,break_area,10:17:43,10:17:50,6.253898859024048
26,break_area,10:20:43,10:20:49,5.419510841369629
27,break_area,10:17:50,10:18:00,10.06995153427124
27,break_area,10:20:44,10:20:50,5.462062835693359
